id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20872145,Charming Boston Residential,94870110,Zay,,Roslindale,42.27498031102064,-71.13969042118958,Private room,60,1,2,2017-09-20,2,1,164
13937181,Guest Room in Cozy Home,82861960,Lelia,,Roslindale,42.27636367614069,-71.13643292507432,Private room,45,2,29,2017-09-20,1.97,1,146
3575220,The Artist room in beautiful villa.,13226301,Mohamed,,Roslindale,42.2802789130541,-71.13586963457317,Private room,50,2,17,2017-05-29,0.45,3,286
17419858,Large Bedroom in WestRoxbury/Rozzie,114515516,William,,Roslindale,42.29078292331886,-71.13795529323475,Private room,65,6,5,2017-08-14,0.74,2,85
18202496,Bright and peaceful room in Roslindale Village,61261721,Kate,,Roslindale,42.28560265534403,-71.14464740615732,Private room,56,1,3,2017-09-29,1.32,1,0
16987125,twin beds third floor,69267172,Lynda,,Roslindale,42.2766766212712,-71.13508152728151,Private room,69,1,5,2017-09-01,0.66,4,170
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.281941832424685,-71.13337190191741,Private room,53,1,21,2017-08-24,0.44,2,363
13768853,"Cozy, quiet room in Roslindale",43132977,Elly,,Roslindale,42.28759769917666,-71.13448153404433,Private room,50,2,10,2016-08-23,0.67,1,0
19248168,Cozy 1 bedroom apartment in Roslindale,129640002,John,,Roslindale,42.281527113367005,-71.13674668687679,Entire home/apt,86,2,10,2017-10-02,3.23,1,184
849408,"Perfect & Practical Boston Rental (1,000+ sqft)",4434391,Damon,,Roslindale,42.28882028358453,-71.13951010210121,Entire home/apt,239,3,41,2017-08-19,0.90,3,163
12386020,Private Bedroom + Great Coffee,64200298,Deborah,,Roslindale,42.29168980076903,-71.13189277475922,Private room,75,2,25,2017-10-01,1.40,1,64
225979,Cozy Room & Fresh Roasted Coffee,1176995,Duane,,Roslindale,42.2814520694321,-71.12925004404066,Private room,59,1,80,2017-08-19,1.09,2,290
21096625,Room 1-2B (Bedroom within Apartment),150174885,Davis,,Roslindale,42.273889206984705,-71.11756915082991,Private room,29,1,0,,,4,349
225834,Skyline View to Boston,1176995,Duane,,Roslindale,42.28052812623618,-71.13084254103526,Private room,70,1,52,2017-09-23,0.71,2,348
3420384,"Convient, Safe and Comfortable",431385,Cynthia,,Roslindale,42.27440801253166,-71.12529404441553,Private room,155,3,3,2017-06-05,0.22,1,240
20902319,Beantown Basement By Brian (Private In-Law),150174885,Davis,,Roslindale,42.27398688207168,-71.11820874366217,Entire home/apt,59,1,1,2017-10-01,1,4,230
13318522,"Big, Bright, and Cheery Boston Home",1262035,Kris,,Roslindale,42.28521460823645,-71.13172055160334,Entire home/apt,261,2,0,,,1,22
8548176,Cute 4 bedroom-sleeps 17- only 15 min to Boston,6570877,Juliet,,Roslindale,42.27917609759368,-71.13277179664853,Entire home/apt,150,1,55,2017-10-01,2.23,5,333
20649310,Comfort and convenience in Boston,42379994,Kenneth,,Roslindale,42.28146932576813,-71.12511860684516,Private room,60,1,4,2017-09-30,3.64,1,104
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28587763920193,-71.12490955692161,Private room,58,2,102,2017-09-30,4.04,1,353
7651065,Come Home to Boston,15396970,Linda,,Roslindale,42.28451220982457,-71.1362580468337,Private room,68,2,69,2017-10-01,2.65,3,345
5884429,"2 Rooms, Private Bath, AC -sleeps 4",15396970,Linda,,Roslindale,42.28657682901829,-71.13553645433956,Private room,140,2,10,2015-10-06,0.34,3,259
12535687,In-Law Apartment,30349101,Rossanna,,Roslindale,42.28389087384849,-71.13140826651365,Entire home/apt,125,2,13,2017-10-02,1.02,1,350
7093109,Cozy  Apt. 20 Minutes  from Downtown,37177446,Nelson And Marlene,,Roslindale,42.27696861949929,-71.11775586431585,Entire home/apt,175,2,14,2017-09-04,0.76,2,341
15217781,Well located on the main street. 10 Min to T.,96695374,Nirmal,,Roslindale,42.292125613882995,-71.12200386278217,Private room,65,1,2,2017-03-10,0.16,1,165
18085704,"Sunny, comfortable apartment",32534082,Adam,,Roslindale,42.28609603744868,-71.14018645383462,Private room,50,1,0,,,1,0
15954650,private bedroom fast to Boston,69267172,Lynda,,Roslindale,42.27677500922973,-71.13468802798516,Private room,37,1,3,2017-09-22,0.71,4,355
20673030,"Whole place,safe,clean home away from home private",147910878,Yashin,,Roslindale,42.2759795785313,-71.1269931328303,Entire home/apt,96,2,4,2017-09-26,4,1,310
12023024,Cozy room in a well located house,64331842,Ricardo,,Roslindale,42.286448197788786,-71.13932538848039,Private room,60,1,10,2017-09-15,0.63,1,349
4461111,Queen room in a charming villa,13226301,Mohamed,,Roslindale,42.27896822197632,-71.13671455617597,Private room,50,2,16,2017-09-30,0.95,3,278
7252607,Private Room near Public Transport,34552909,Barrie,,Roslindale,42.28280175042395,-71.11514509094087,Private room,50,5,6,2017-05-20,0.22,4,280
13547301,Loft Apartment in Boston,57402911,Georgia,,Roslindale,42.28764103470109,-71.12988286590424,Entire home/apt,125,2,33,2017-09-24,2.12,3,329
5434353,Quiet  Beauty in Boston,9658771,Anthony,,Roslindale,42.286264736208935,-71.13706513072117,Entire home/apt,125,14,12,2017-04-29,0.47,1,329
2583074,Cozy room in a charming villa.,13226301,Mohamed,,Roslindale,42.27964781834151,-71.1360587290911,Private room,50,2,34,2016-10-21,0.89,3,278
9218312,Private bedroom and  bathroom suite,47935411,Jone,,Roslindale,42.28907107085577,-71.12823296377442,Private room,75,2,79,2017-10-01,3.70,1,133
17574145,Beautiful Room/Private Bath/Access to Living Area,18553747,Mona,,Roslindale,42.28509664284081,-71.13107373653091,Private room,82,1,14,2017-08-26,2.08,1,325
14690527,1 Bedroom Home Suite Home,28472710,Crystal,,Roslindale,42.28922069154087,-71.13071326524191,Entire home/apt,150,1,2,2017-05-22,0.28,1,120
18016452,Clean and quiet room in Roslindale,123875305,Aurea,,Roslindale,42.28007080421777,-71.12505808402146,Private room,54,1,26,2017-08-31,4.53,1,122
19212437,Sky-blue Room w/Private Bath,124799156,Maureen,,Roslindale,42.27661599056335,-71.12002434269542,Private room,69,2,5,2017-09-28,2.42,4,159
10116095,Comfortable & Clean - Boston,1229092,Jim,,Roslindale,42.289603216466745,-71.13336748771152,Private room,115,1,0,,,1,365
6400432,Spacious 3 bedroom cape cod style,23127285,Jesús,,Roslindale,42.27838291101699,-71.12878009724983,Entire home/apt,150,3,21,2016-08-19,0.80,1,96
15935306,Queer Friendly and Vibrant Art and Eco space,31179723,Raq,,Roslindale,42.28680567124494,-71.12082364908231,Private room,50,2,5,2017-09-01,1.01,2,3
19965562,"Classy, Cozy 2 BR, 2 Bath Boston condo",9181364,Bruce,,Roslindale,42.287973981686164,-71.12977111031459,Entire home/apt,148,2,5,2017-10-02,3.66,1,115
5498472,"4BD/3.5BA, Perfect for families!",28518068,Colette,,Roslindale,42.27683095063724,-71.12955973831468,Entire home/apt,175,14,1,2015-07-24,0.04,1,0
894539,Private room in house ,4762495,Jennifer,,Roslindale,42.290903928902345,-71.13023771355206,Private room,95,1,44,2017-09-17,0.91,2,262
1861070,Charming Gambrel on a sweet street,8879967,Joanne,,Roslindale,42.27691292292999,-71.12823284429416,Private room,75,1,27,2017-10-01,0.64,1,361
6513924,Spacious unit near public transportation,16398126,Chris,,Roslindale,42.284561507299415,-71.11972634316602,Private room,55,1,45,2017-09-24,1.57,1,360
20997260,Room 1-1C in Rozzie (Bedroom within Apartment),150174885,Davis,,Roslindale,42.2750332333405,-71.11891326613987,Private room,29,1,0,,,4,71
7086825,Private Room near public transport,34552909,Barrie,,Roslindale,42.28228162657036,-71.11681747458199,Private room,50,5,12,2017-06-26,0.44,4,309
19702475,Quite One single families house,79029888,Yoselin,,Roslindale,42.27371845773852,-71.12812812558472,Private room,85,1,23,2017-09-29,7.84,1,357
3075044,Charming room in pet friendly apt,2572247,Andrea,,Roslindale,42.286240821867416,-71.13437396457161,Private room,65,2,49,2017-09-28,1.20,1,353
9380145,Cozy oasis in Roslindale,7728809,John & Emily,,Roslindale,42.28141361022943,-71.13331765190607,Entire home/apt,85,7,1,2017-03-24,0.15,1,257
19914995,Incredible 3brm designer home in Roslindale,2006852,Jay,,Roslindale,42.290725961006366,-71.13302085940167,Entire home/apt,209,1,1,2017-08-21,0.64,8,155
6069883,Roslindale Village - private room,15396970,Linda,,Roslindale,42.28531408883604,-71.1357606440486,Private room,65,2,9,2015-09-16,0.31,3,259
12147973,Farm and Award winning Garden in the City,31303940,Virginia,,Roslindale,42.282618795779484,-71.13306792912681,Entire home/apt,250,2,0,,,1,0
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28208581195228,-71.1333486774579,Private room,67,1,25,2017-07-29,0.52,2,357
4922204,Charming new house-15 min to Boston,6570877,Juliet,,Roslindale,42.28214228250037,-71.12904915306451,Entire home/apt,200,1,130,2017-10-01,4.05,5,337
21126044,Room 1-3G (Bedroom within Apartment),150174885,Davis,,Roslindale,42.27370767281119,-71.11831466756631,Private room,29,1,0,,,4,341
6976,"Folk Art Spirit in a Leafy, Quiet Neighborhood",16701,Phil,,Roslindale,42.2924378866568,-71.13576525374667,Private room,65,3,58,2017-09-08,0.58,1,72
20978478,Modern/bright room for 2 in renovated apt,9705586,Estuardo,,Roslindale,42.27930897341171,-71.13505551661468,Private room,65,2,0,,,2,355
4085362,"""Room with a View""  from ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.281748516890026,-71.14031783726143,Private room,85,1,26,2017-09-30,0.72,2,339
18175604,Rozzy's Finest Room!,124799156,Maureen,,Roslindale,42.276812070639956,-71.11982744544659,Private room,39,2,9,2017-10-03,1.70,4,331
17471070,Cozy Home in Boston (Roslindale) Next to Arboretum,17779702,Allegra,,Roslindale,42.29222618234159,-71.12961881244046,Entire home/apt,100,1,0,,,1,0
18388452,Private Bedroom 20 minutes away from Downtown,127347672,Samantha,,Roslindale,42.27934484902435,-71.11474513528448,Private room,50,1,7,2017-10-03,3.04,1,165
5706985,New Lrg Studio apt 15 min to Boston,6570877,Juliet,,Roslindale,42.28138962623448,-71.13119041987277,Entire home/apt,100,1,78,2017-08-05,2.85,5,336
15193504,"Sunny, Quiet, Private Home Office + Free Parking",2343712,Stephanie+Eric,,Roslindale,42.27894982559271,-71.11782149798333,Private room,62,1,45,2017-09-17,3.65,1,0
18912111,"Spacious, Quiet,  and Home-y Room in Art/Eco house",31179723,Raq,,Roslindale,42.28973886051874,-71.12115682339396,Private room,60,2,1,2017-07-24,0.40,2,0
21107821,"Modern, Newly Renovated, Spacious Apartment",57402911,Georgia,,Roslindale,42.289449803840064,-71.12971719481011,Entire home/apt,200,2,1,2017-10-04,1,3,355
15864923,Entire House - Cape Style,102834782,Andrei,,Roslindale,42.28424526053765,-71.1196063509515,Entire home/apt,125,3,8,2017-08-11,0.75,1,344
1724900,Charming sunlit house in Boston,7723912,Fj,,Roslindale,42.282905456272054,-71.13267673899496,Entire home/apt,141,4,34,2017-09-07,0.71,2,347
16272709,Clean and spacious 2 bed apartment,69267172,Lynda,,Roslindale,42.27618553951909,-71.13311304559424,Entire home/apt,105,1,21,2017-09-28,2.74,4,339
18181482,15 minutes to Boston- 3 BDR for 8 people-big yard,6570877,Juliet,,Roslindale,42.28087390788756,-71.12883544744814,Entire home/apt,150,1,8,2017-08-19,1.80,5,336
20207694,3rd floor apartment,69267172,Lynda,,Roslindale,42.276321759661506,-71.13422846993018,Entire home/apt,147,1,0,,,4,353
21189065,"Sunny, friendly and well located",16140068,Alfonso,,Roslindale,42.27354240453939,-71.1258057212308,Private room,75,1,0,,,1,353
17382859,5 bedroom - big yard- 15 min to Boston,6570877,Juliet,,Roslindale,42.282012327568545,-71.12796053219886,Entire home/apt,200,1,18,2017-10-01,2.60,5,358
3968797,Sunny bedroom in large quiet house,4762495,Jennifer,,Roslindale,42.29110718003285,-71.13133846374735,Private room,85,1,38,2017-09-11,1.25,2,118
1494726,Cozy in Rozzie!,7506913,Maria Cecilia,,Roslindale,42.275715632046385,-71.13013942666514,Private room,75,3,13,2017-06-01,0.34,1,364
3755609,Lovely & Gracious Victorian room,19223882,Rosa,,Roslindale,42.27563719947966,-71.12480041713683,Private room,72,3,35,2017-10-03,0.94,1,357
15099163,Cozy private room in Roslindale Village/Boston,56877728,Jaque,,Roslindale,42.28692377259029,-71.14134671215746,Private room,79,1,9,2017-06-25,0.72,1,177
18254869,Spacious and Quiet Apartment in Roslindale,46966201,Eric,,Roslindale,42.27832097543377,-71.12487284188492,Entire home/apt,150,1,6,2017-08-20,1.29,1,350
21154569,White Diamond!,124799156,Maureen,,Roslindale,42.27660214145114,-71.11975973824602,Private room,49,2,0,,,4,348
15616726,Beautiful all furnish Home,100685694,Frances,,Roslindale,42.276637172738376,-71.12639378059917,Entire home/apt,150,2,46,2017-09-30,4.04,1,306
19073668,The Golden Room!,124799156,Maureen,,Roslindale,42.274940290853216,-71.11819675185424,Private room,49,2,0,,,4,293
19991354,*Private bathroom * Free parking * Public transit,30307510,Kalyn,,Roslindale,42.285981560900765,-71.1128903650117,Private room,90,1,2,2017-10-05,2,1,160
3229255,1bd Boston apt - Convenient & quiet,16343599,Ella & Will,,Roslindale,42.287025610360985,-71.1335387879796,Entire home/apt,125,1,85,2017-10-01,2.19,1,160
18194673,Warm and serene home in Roslindale part of Boston,27364068,Katie,,Roslindale,42.2785332036182,-71.13374460765982,Private room,50,2,12,2017-09-18,2.47,1,64
18580155,Updated single family steps to Roslindale Village,2363016,Sarah,,Roslindale,42.285624410417775,-71.1351047413858,Entire home/apt,225,5,3,2017-09-03,0.87,1,150
1721016,Quiet Sunlit Attic Studio,7723912,Fj,,Roslindale,42.28606772927463,-71.1323625033481,Entire home/apt,106,4,7,2017-08-05,0.18,2,350
19327752,Rozzie Room,237023,Margie,,Roslindale,42.284795449929135,-71.13935123559739,Private room,31,7,12,2017-09-21,3.60,1,10
12927298,Private House in Roslindale/Boston/Arboretum,68001856,Laura,,Roslindale,42.29061655718749,-71.13273461483398,Entire home/apt,285,3,7,2017-09-07,0.47,1,120
18790023,Comfy/Spacious 1BR for 3 in renovated apt,9705586,Estuardo,,Roslindale,42.27818822638018,-71.13496118898574,Private room,55,2,13,2017-09-15,3.22,2,162
7482195,Private room near bus stop,34552909,Barrie,,Roslindale,42.282224755841604,-71.11518855890074,Private room,50,5,1,2017-05-28,0.23,4,128
6603827,Cozy private room near bus stop,34552909,Barrie,,Roslindale,42.28217038124361,-71.1164843137903,Private room,59,5,4,2015-11-27,0.15,4,247
16172058,Cozy Roslindale Flat,12118063,Kaden,,Roslindale,42.28584771518889,-71.13853024132437,Entire home/apt,95,2,10,2017-08-20,1.02,1,0
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28194609607024,-71.14102161135577,Private room,85,1,74,2017-07-23,1.79,2,293
16892278,Fantastic 2 Bedroom Apartment,37177446,Nelson And Marlene,,Roslindale,42.27789083757414,-71.11752139651799,Entire home/apt,199,2,4,2017-09-17,0.91,2,351
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31509938985096,-71.11107897137123,Private room,95,4,62,2017-08-13,0.72,1,314
20406376,Private room in Jamaica Plain condominium.,145521726,Oghogho,,Jamaica Plain,42.32445862704929,-71.10456309792336,Private room,55,1,6,2017-09-30,6,1,0
19102964,Sunflower Private Room in spacious J.P. house,133457702,Selim,,Jamaica Plain,42.32296253583139,-71.10562823126186,Private room,95,1,22,2017-10-03,6.67,5,342
19294099,Beautiful room in Jamaica Plain MA,135109301,Cannaan,,Jamaica Plain,42.321896670384724,-71.103896899652,Private room,58,1,37,2017-09-29,10.28,1,120
6862594,"Beautiful Home in Jamaica Plain, MA",10608570,Edward,,Jamaica Plain,42.31926520385325,-71.11324623810819,Private room,60,1,0,,,1,0
17843922,Sunny and cozy room. Awesome location!,119359048,Emelyn,,Jamaica Plain,42.320597484925834,-71.10579825662312,Private room,40,3,12,2017-09-29,2.25,2,126
2798787,A private room on Sunnyside,13372537,Molly,,Jamaica Plain,42.32451388795766,-71.10540620416036,Private room,75,1,152,2017-10-03,3.68,1,317
2295530,Sunlit & Beautiful in Boston's J.P. neighbourhood,11725202,Alicia And Kostas,,Jamaica Plain,42.3177858597241,-71.10513643573292,Private room,120,2,189,2017-10-03,4.48,2,219
17476391,Open and friendly place in Jamaica Plain,118376884,Petr,,Jamaica Plain,42.324830379696536,-71.10745744271063,Private room,67,2,1,2017-10-04,1,1,121
19007014,#3 Samuel Adam neighborhood,132606746,Javier,,Jamaica Plain,42.31441380856653,-71.10239921159031,Private room,51,1,0,,,3,347
16125278,Teal Room / 2 Min Walk to Subway!,48522319,Roxanne,,Jamaica Plain,42.32202903962228,-71.10404986129859,Private room,64,1,37,2017-09-14,3.79,2,79
2698996,Room in Pondside Apt!,13812113,Ray,,Jamaica Plain,42.31567994817808,-71.11520100639541,Private room,60,1,171,2017-08-31,4.01,1,97
14868545,Room in Beautiful Apt - Steps to the Orange Line,75604572,William,,Jamaica Plain,42.32190462679917,-71.10615572831358,Private room,110,1,35,2017-09-18,2.95,1,164
6248970,Spacious room convenient to subway,32449720,Shawn,,Jamaica Plain,42.321719666668685,-71.10345881692874,Private room,65,3,130,2017-09-21,4.49,1,139
20015244,Luxury Condo - JP/BU/Fenway/Longwood/downtown/MBTA,17034441,Anne Marie,,Jamaica Plain,42.323838504092706,-71.10985144470507,Private room,90,1,10,2017-09-30,4.23,2,327
19103076,"Large Suite w/ Private Bath,Hot tub,great location",133457702,Selim,,Jamaica Plain,42.32308473223338,-71.10722233293784,Private room,155,1,19,2017-09-30,6.33,5,169
10883063,spacious 3rd floor loft in home,24593919,Minor,,Jamaica Plain,42.32411923510956,-71.10669945356153,Private room,95,2,57,2017-09-28,2.99,1,71
4015972,"Bed, Bath & Beyond in Jamaica Plain",14303759,Susan,,Jamaica Plain,42.32161990846114,-71.10550967539857,Private room,60,1,171,2017-10-04,4.56,4,341
18802946,Private Room in Urban DIY house,55603,Ashley,,Jamaica Plain,42.31349035470522,-71.11042223426433,Private room,92,2,10,2017-09-03,2.52,1,158
6238463,Pvt tree top suite in great location,31691830,Penny,,Jamaica Plain,42.315904009331135,-71.11404802615597,Private room,95,2,53,2017-10-01,2.13,1,55
4586681,"Hidden Gem in Jamaica Plain, Boston",12795084,Lynne,,Jamaica Plain,42.314827484606575,-71.11295481151114,Private room,90,2,61,2017-09-15,2.01,1,348
6730758,Private studio by subway w/parking,207475,Danielle&Peder,,Jamaica Plain,42.31451961008171,-71.10558689277725,Private room,120,2,87,2017-09-29,3.07,1,46
12855343,"Small, sweet, single-bed near T",12164071,Cynthia And Paul,,Jamaica Plain,42.3126182454674,-71.10620541691137,Private room,50,2,100,2017-09-29,5.98,4,301
10253591,"Quiet, Private Room with Comfy Bed",32071442,Sarah,,Jamaica Plain,42.31838301910418,-71.10187809594295,Private room,105,2,36,2017-09-12,1.88,2,77
15149497,"LOCATION!!Private Room, Parking, 5 minutes from T",34190728,Kyle And Anastasia,,Jamaica Plain,42.316065104181426,-71.1075240712279,Private room,89,1,13,2017-09-24,1.08,2,345
19102461,Private Room in very spacious JP House.( Lilac Rm),133457702,Selim,,Jamaica Plain,42.324085814744905,-71.10638557753282,Private room,95,1,22,2017-09-28,6.35,5,161
12874603,Comfortable Private Bedroom for 2,48719428,Diego,,Jamaica Plain,42.32267197982334,-71.10078611527362,Private room,70,1,10,2016-06-27,0.61,1,0
8272350,"""The Sheridan"" JP, Boston",37835016,Erin,,Jamaica Plain,42.32004366635828,-71.10784415823343,Private room,99,2,2,2015-10-26,0.08,1,0
12824498,Cozy Reading Bedroom,10524003,Isaac,,Jamaica Plain,42.32512115569664,-71.1129246517974,Private room,70,1,4,2016-08-09,0.23,1,0
12789527,"Cosy Bedroom in Boston, 10min from Downtown by T",5965548,Colombine,,Jamaica Plain,42.31460342736296,-71.10401384357903,Private room,90,1,3,2016-10-16,0.22,1,0
5025015,Beautiful Apartment in Boston!,25932315,Heriberto,,Jamaica Plain,42.3250487304867,-71.10629608704429,Entire home/apt,175,2,156,2017-09-29,4.95,2,299
6602217,Private Apartment!,24584716,Miriam,,Jamaica Plain,42.32309568739635,-71.10851426561025,Entire home/apt,130,2,115,2017-09-18,4.01,3,167
4149974,Centered on Centre,8498315,Joe,,Jamaica Plain,42.317966211801114,-71.1115346411253,Entire home/apt,110,2,115,2017-09-16,3.25,1,309
20623854,Huge Bedroom & Private Bath in House of Porches,731061,Gabrielle,,Jamaica Plain,42.31494222233963,-71.11483778506746,Private room,70,2,3,2017-09-29,3,1,149
21217225,LUXURIOUS 6BR/3B Apt near Fenway with Parking!,19966591,Mariana & Luis,,Jamaica Plain,42.32336394536297,-71.10201963013562,Entire home/apt,0,1,0,,,3,325
8932377,Queen size bed in roomy 2 BR condo,26023138,Sherry,,Jamaica Plain,42.319510898734436,-71.11460121899208,Private room,90,1,0,,,1,0
7910223,"Charming Apartment, Jamaica Plain",30490577,Lori,,Jamaica Plain,42.315922709721605,-71.09957962869748,Entire home/apt,160,2,138,2017-09-25,5.41,3,159
2963419,Garden Oasis #1,15123694,Lucia,,Jamaica Plain,42.318038974479784,-71.11687373250301,Private room,75,14,20,2016-04-01,0.48,2,55
6602167,TWO BEDROOM APARTMENT,24584716,Miriam,,Jamaica Plain,42.32527016657306,-71.10701088601907,Entire home/apt,168,2,90,2017-09-26,5.22,3,311
20053362,Luxury Condo - JP/BU/Fenway/Longwood/downtown/MBTA,17034441,Anne Marie,,Jamaica Plain,42.32405282618109,-71.10950450093019,Entire home/apt,169,2,4,2017-09-04,1.94,2,25
16266043,Tiny home in Jamaica Plain Neighborhood,7450,Jennifer,,Jamaica Plain,42.31633984253525,-71.10484371442303,Entire home/apt,100,14,0,,,1,0
8354938,2 bedrooms near Boston's Sam Adams brewery rental,206353,Perry,,Jamaica Plain,42.31465541166664,-71.09929095218234,Entire home/apt,192,2,48,2017-09-22,1.99,1,324
17249794,Private Apartment in Jamaica Plain,62756011,Lindsey,,Jamaica Plain,42.31654311951007,-71.09944656436107,Entire home/apt,113,1,0,,,1,2
1109224,4 bedroom Victorian Condo unit,1531239,Lita,,Jamaica Plain,42.320510860484134,-71.11215759278208,Entire home/apt,439,2,51,2017-09-30,1.02,1,316
8879352,Converted Loft Studio in Jamaica Plain,5138852,Won,,Jamaica Plain,42.323203646554454,-71.10844013766078,Entire home/apt,100,7,0,,,1,0
17451062,Jamaica Plain Quality & Boston Proximity-Sleeps 6,51361205,Sensei Boaz,,Jamaica Plain,42.31482486787939,-71.10296869696487,Entire home/apt,147,1,48,2017-10-05,6.70,2,307
20050570,Contemporary Studio near Fenway + Pool & Gym!!,30283594,Kara,,Jamaica Plain,42.329151924121696,-71.11130238197715,Entire home/apt,119,3,1,2017-09-29,1,181,87
20051917,Spacious 1 Bedroom in Boston near Fenway Park!,30283594,Kara,,Jamaica Plain,42.329001784660825,-71.11241338791015,Entire home/apt,130,3,0,,,181,87
19656368,Fenway 1-BR Apt w/ Lobby-Level Retail + Pool & Gym,30283594,Kara,,Jamaica Plain,42.32884526143911,-71.11078289150022,Entire home/apt,135,3,0,,,181,360
20053152,Over the Top 2-BR in Boston near Fenway Park!! WOW,30283594,Kara,,Jamaica Plain,42.32896679483396,-71.11106609255316,Entire home/apt,170,3,0,,,181,87
2621242,Lovely one bedroom Apt,13424353,Leo,,Jamaica Plain,42.318422553936024,-71.105505307545,Entire home/apt,110,2,6,2014-08-31,0.15,1,97
20053494,Plush 2 Bedroom near The Bunker Hill Monument!!,30283594,Kara,,Jamaica Plain,42.328676657019,-71.11178021480828,Entire home/apt,175,3,0,,,181,87
554720,Boston Charm - Condo,2727109,Tom,,Jamaica Plain,42.3185688067565,-71.11415408323548,Entire home/apt,240,3,142,2017-09-19,2.32,1,222
14057466,2 BR | 1 BA  Close to Downtown & Medical Free Prkg,30314324,Eileen,,Jamaica Plain,42.31357233912847,-71.1138193264009,Entire home/apt,150,5,25,2017-10-03,1.74,1,35
17710012,Quiet & Light 3BR in central JP w/ ample parking,16700797,India,,Jamaica Plain,42.3125650694871,-71.11699349188702,Entire home/apt,160,2,26,2017-09-24,3.90,1,14
2880944,2BD Pond-side condo in JP for longer-term rentals,5052732,Josh+Kate,,Jamaica Plain,42.31395140584357,-71.11600891554467,Entire home/apt,185,7,6,2017-07-01,0.15,1,0
19545217,Jamaica Plain - Private bedroom&modern bath near T,19334125,Alfredo,,Jamaica Plain,42.29284272480884,-71.11740977149077,Private room,60,1,14,2017-10-03,4.38,1,19
17838605,2 Twin Beds/Near Subway/Free Passes,122012360,Sarah,,Jamaica Plain,42.29546344376605,-71.12025105010974,Private room,110,2,14,2017-09-22,5.19,2,143
13513012,"THE BEST: Steps from Subway, Private Bath & Deck!",32784275,Manuel,,Jamaica Plain,42.2959953158216,-71.10898813499715,Private room,84,4,39,2017-09-27,2.58,1,0
19430766,Quiet Retreat on Dead-End Street,120871325,Bonnie,,Jamaica Plain,42.28856872016504,-71.11621366384706,Private room,79,1,11,2017-09-21,4.58,1,15
20885932,Rm#1: 5min to T-metro/tube - Boston\Cambridge,105867773,Hardave,,Jamaica Plain,42.295793919079294,-71.11470239363099,Private room,75,1,4,2017-09-26,4,2,61
19911540,Private bedroom in heart of JP!!!,43074370,Leontios,,Jamaica Plain,42.30811208848028,-71.11822322182765,Private room,63,1,7,2017-09-27,6.00,3,351
1881298,Private Studio- Minutes from T!,1920539,Caitlin & Dan,,Jamaica Plain,42.30026388087917,-71.11180739447572,Private room,92,1,294,2017-10-04,6.19,1,280
20639600,Modest Victorian Room.,38296828,Marta,,Jamaica Plain,42.29806963180014,-71.11136117051136,Private room,65,1,3,2017-09-03,2.50,1,1
1030500,"Cozy den, private apt/kitchen/bath",5670669,Kelly,,Jamaica Plain,42.29106052288582,-71.11593555432006,Private room,100,1,16,2016-11-30,0.30,1,279
15432250,Cozy and beautiful room in Jamaica Plain,80461675,Jayoung,,Jamaica Plain,42.30390879589038,-71.10436451468867,Private room,50,1,9,2017-08-28,3.00,1,4
11826815,Terrestrial Paradise of Eternal Love,18807469,Derian,,Jamaica Plain,42.299562916444245,-71.11283944617207,Private room,88,6,30,2017-09-01,1.58,3,8
2014651,One Private Bedroom in J.P.,2155838,Molly,,Jamaica Plain,42.30711033673986,-71.10582362671403,Private room,120,2,31,2017-05-22,0.67,1,363
519272,"Cozy Room + Private Bath, JP Boston",2444900,David,,Jamaica Plain,42.305107628365654,-71.10643297141229,Private room,62,3,9,2016-05-31,0.21,1,0
12566065,Large and Cozy Boston Bedroom,68125441,Katie,,Jamaica Plain,42.30443377187232,-71.10967688765845,Private room,60,2,5,2016-09-08,0.33,1,0
732932,Guest Bedroom in Beautiful Jamaica Plain Home,3817361,Alishya,,Jamaica Plain,42.30376309732182,-71.11400262506409,Private room,95,3,21,2017-04-18,0.35,3,344
21213790,Quaint rustic home near T and Arboretum,22862391,Shari,,Jamaica Plain,42.30415489225021,-71.11676184755693,Entire home/apt,135,2,0,,,1,348
14105971,Tranquil Treetop Loft,79103444,Bruce,,Jamaica Plain,42.30906284664378,-71.1114197330592,Entire home/apt,129,1,107,2017-10-04,7.31,1,64
1113272,JP Whole awesome apartment,3676936,Roberto,,Jamaica Plain,42.3048433293264,-71.10627115826995,Entire home/apt,210,2,65,2017-09-07,1.42,1,306
10059572,"Sunny, Cozy Two Bedroom in JP!",7594805,Julia,,Jamaica Plain,42.29684353814034,-71.11573125124903,Entire home/apt,160,2,4,2017-09-10,1.33,2,4
4567815,Treetop Jamaica Plain Family Home,3381838,Eliza,,Jamaica Plain,42.306539072784176,-71.11789285939363,Entire home/apt,120,3,11,2017-08-20,0.33,1,0
